TSNE_1,TSNE_2,TSNE_26,TSNE_27,TSNE_51,TSNE_52,TSNE_76,TSNE_77,TSNE_101,TSNE_102,TSNE_126,TSNE_127,TSNE_151,TSNE_152,TSNE_176,TSNE_177,TSNE_201,TSNE_202,TSNE_226,TSNE_227,TSNE_251,TSNE_252,TSNE_276,TSNE_277,TSNE_301,TSNE_302,TSNE_326,TSNE_327,TSNE_351,TSNE_352,TSNE_376,TSNE_377,TSNE_401,TSNE_402,TSNE_426,TSNE_427,TSNE_451,TSNE_452,TSNE_476,TSNE_477,TSNE_501,TSNE_502,TSNE_526,TSNE_527,TSNE_551,TSNE_552,TSNE_576,TSNE_577,TSNE_601,TSNE_602,TSNE_626,TSNE_627,TSNE_651,TSNE_652,TSNE_676,TSNE_677,-logC
18.481543,6.995113,21.46533,0.49646017,22.168543,0.115036584,20.693186,-0.058676366,20.34142,1.2546648,19.295942,-1.5489825,19.372667,2.9866447,18.269892,-2.6319294,18.245312,-3.4039073,19.094463,2.3201556,20.047678,-1.7020321,17.370886,-1.3843076,6.77936,-2.5898151,-19.398148,-1.6417501,21.002337,0.99480313,19.92241,2.1917143,19.308165,1.5641885,18.143877,2.6608765,17.447975,-4.149285,16.79906,3.4677029,17.448204,3.662069,18.956896,1.7813733,17.503965,5.8577533,20.20328,-4.5596614,20.402607,1.1766751,19.775433,-2.184425,20.126947,0.25246248,19.48683,-0.60117817,5.301029995663981
18.011688,7.291681,20.811928,0.13288383,21.625229,0.1116014,19.981277,0.005247175,19.910072,0.32175258,19.177647,-0.15834166,19.882057,1.2297797,19.40113,-0.7773368,19.259033,-1.5865567,18.736944,-0.089378856,17.116547,-0.487729,14.049137,0.019136349,14.231726,-0.5195496,10.083149,-0.36855733,-2.544778,-0.73478204,6.6137342,-1.3268138,12.962402,-1.4062707,15.760371,-1.380081,17.556362,0.088411294,17.634987,-0.18615961,17.578337,0.09188646,18.429277,-1.8762128,18.008488,2.186253,19.80825,-0.85714453,17.383835,-2.4529636,15.362503,0.8161486,13.7791605,1.6482733,12.316642,1.3116812,5.0
17.608341,7.253297,20.53842,0.15265591,20.710829,0.084527835,19.076038,0.04577833,19.155697,-0.21679321,18.422235,0.6518538,19.189886,-0.08853733,17.383753,1.5261817,13.90236,-0.9853943,11.637555,0.03371483,9.580525,-0.14931871,2.855176,1.0835719,-2.1649482,1.711183,-10.440772,-1.0215703,16.319853,0.028674275,17.8765,-0.11204152,18.516615,-1.9047441,18.610815,-1.1208653,18.317865,-0.85160524,16.561222,-0.04869656,15.082674,-0.567006,10.52236,0.008929028,4.4463415,0.8132254,0.31631187,0.8550001,-2.7997856,-0.26722795,-4.7730007,-0.25967315,-9.6626215,0.84942013,-10.870945,0.3939212,4.823908740944319
6.148843,5.452686,15.841504,0.81309974,18.568127,0.38032728,17.726917,0.025789067,18.005789,-0.20382445,17.402687,0.77927315,17.964203,-0.56425637,14.712177,1.43962,12.348712,-0.85121924,10.655211,0.14944053,8.65875,-0.18305999,1.9830854,1.0000709,-2.5567641,1.6560385,-10.45306,-0.97242135,15.989289,-0.08460351,17.660553,-0.01857869,18.260796,-1.2876357,18.260103,-0.9387286,17.994463,-0.8356867,16.145168,-0.19828287,14.275838,-0.7224597,8.772241,0.3382389,3.259123,0.45927206,-0.71272236,0.78055227,-4.1556473,0.066361606,-5.6507897,-0.041501425,-9.828485,0.83387434,-10.772941,-0.0733702,4.698970004336019
5.461552,4.5623355,10.7874975,1.5545696,18.038063,0.70347685,17.564068,-0.13768043,18.123167,-0.103130646,17.88414,0.6392822,18.992945,-0.18008678,17.803736,1.3493956,15.206992,-0.9998848,13.259065,-0.09455542,11.85169,-0.5205637,8.175708,-0.43212306,5.56079,-0.3781997,-0.5793892,1.0303476,7.8505435,-1.1207334,12.3263445,0.35457194,13.862003,-1.0147508,14.166394,-1.1696924,13.869391,-0.560643,12.338096,-0.3762648,7.8745456,-0.8476211,2.7174816,0.37161118,0.69511133,0.0625965,-3.0880508,0.4438678,-6.898566,0.755842,-8.757799,0.11533569,-12.424679,1.1984947,-12.9738245,0.45314962,4.6020599913279625
11.407683,6.1849475,15.430784,0.37233463,17.652712,0.21992013,16.863022,-0.22457704,17.439283,-0.5049379,17.370039,0.4449533,18.652943,-0.30271474,17.533197,1.1972563,15.601693,-0.9548868,13.727144,-0.000882957,12.560337,-0.4960527,9.448397,-0.5244792,8.720373,-0.49605027,3.911169,-0.51139563,1.5913556,-0.7209233,7.403683,-0.87241715,10.617052,-1.0830055,11.289455,-0.6081628,10.963236,-0.18256424,9.500102,0.49498212,4.4841948,-0.5256336,1.3974975,0.17508264,-0.13289234,-0.035811733,-3.712929,0.3749928,-7.1916485,0.7416587,-8.439599,0.18020064,-11.907252,1.145641,-12.456676,0.26450425,4.522878745280337
3.522516,2.9251757,5.150269,-0.7504566,14.987132,0.5424856,15.118776,-0.28734332,16.19227,-0.58471185,16.538836,0.36567968,18.0972,0.02312082,17.540194,1.0410973,16.131226,-0.8257507,14.766745,-0.08868121,13.951528,-0.4611181,11.504931,-0.1791226,12.231165,-0.17487334,9.611076,-0.1891636,-4.854536,-0.12248122,-0.9582209,0.8037251,3.6606197,-0.7133562,5.2355766,0.24098577,5.7110295,-0.74505365,3.5603561,-0.20118663,-0.040949713,1.0400075,-0.27782327,-0.08580831,-1.164485,-0.2187855,-4.317168,0.49446023,-6.973247,0.57700807,-7.73433,0.08318619,-10.822989,0.76104355,-11.150642,0.39428586,4.455931955649724
2.8592842,4.2036867,8.673259,0.86793923,15.947062,0.44384366,15.379237,-0.2518641,16.183445,-0.5822315,16.630972,0.3286902,18.388235,0.07560674,18.3099,0.9526372,17.237284,-0.25930235,15.866205,-0.122634135,15.156885,-0.52062976,13.189351,-0.08184788,14.701618,-0.2640105,13.7403755,0.23094696,-9.5735655,0.33158502,-5.5283856,0.8588578,-1.1710176,-0.5582299,2.0877023,-0.33542314,3.7450812,-0.3912277,2.747693,0.027680326,0.37518418,0.8116883,0.6005538,-0.044592716,0.39291525,-0.21344018,-1.7871678,0.600803,-3.2258446,0.14397478,-3.5569825,-0.04327216,-6.5104017,1.0893952,-7.3404164,0.11675227,4.3979400086720375
2.6855788,4.2771573,7.899966,0.017377492,8.20916,0.16495097,10.308565,-0.30229446,12.075654,-0.14373188,13.46263,0.24686155,15.910424,-0.12971811,15.580744,0.84277177,15.401316,-0.7164412,14.843676,0.04581722,14.601534,-0.57556486,13.010411,-0.1318834,14.893252,0.12316686,14.32473,0.36507395,-10.83595,0.9197023,-7.265785,0.8579091,-3.6642728,-0.34499487,-0.57611376,-0.53604573,1.4230375,-0.48354653,0.74561286,-0.22928143,-0.9226015,0.8803023,0.03783227,-0.16622579,0.13596661,-0.2711149,-1.4262241,0.39348245,-2.3064532,0.058645457,-2.3187227,0.13681816,-4.984895,0.83010864,-5.4898095,0.40447447,4.346787486224656
4.1840863,3.2654023,1.592961,-0.6588665,7.0188327,0.43747884,9.402857,-0.2996292,11.048959,0.06814097,12.767724,0.19668685,15.811265,0.19015244,16.45103,0.8052789,16.55876,-0.6322002,16.082941,-0.063053064,15.958129,-0.6203857,14.612407,-0.18977189,16.867737,0.22547327,17.059608,0.846818,-15.121541,0.14334983,-12.386619,0.9718329,-8.073361,0.05808059,-4.1365213,-0.7641858,-0.89346933,-0.4144931,-0.3281643,0.18397908,-1.0757204,0.6743047,0.55991596,-0.33458003,1.3505417,-0.22929242,0.37824303,0.22052908,-0.11049757,-0.16931362,-0.11725081,-0.1031938,-2.9174995,1.0997851,-3.204519,0.13292049,4.301029995663981
